"Transaction ID","Due/Scheduled date","Date paid","Type","Amount","Currency","FX rate on transaction date","Amount (EUR)","Counterparty","Expense category","Channel/warehouse","Status","Reconciled","Supporting document","Notes","PO#/Shipment Ref"
"TXN-0074","2026-08-05","2026-08-05","vendor payment","1105.91","EUR","","1105.91","Deutsche Post AG","Last Mile","","paid","FALSE","1105,91 EUR_31.07.2026_DHL Paket GmbH.pdf","",""
"TXN-0075","2026-08-05","2026-08-05","vendor payment","2430.3","EUR","","2430.3","Deutsche Post AG","Last Mile","","paid","FALSE","2430,30 EUR_31.07.2026_Deutsche Post AG.pdf","",""
"TXN-0076","2026-08-05","2026-08-05","vendor payment","163.18","EUR","","163.18","Deutsche Post AG","Last Mile","","paid","FALSE","163,18 EUR_31.07.2026_Deutsche Post AG.pdf","",""
"TXN-0077","2026-08-11","2026-08-11","vendor payment","14775.87","EUR","","14775.87","fly fulfillment GmbH","Fulfillment","","paid","FALSE","14.775,87 EUR _31.07.2026_fly fulfillment GmbH.pdf","",""
"TXN-0078","2026-08-06","2026-08-06","vendor payment","660.8","EUR","","660.8","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","660,80 EUR_31.07.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0079","2026-08-06","2026-08-06","vendor payment","864.75","EUR","","864.75","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","864.75 EUR_01.08.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0080","2026-08-06","2026-08-06","vendor payment","2175.31","EUR","","2175.31","Hangzhou Miqiu Internet Technology Co., Ltd","Fulfillment","","paid","FALSE","2175.31 EUR_03.08.2026_Hangzhou Miqiu Internet Technology Co., Ltd.pdf","",""
"TXN-0081","2026-08-06","2026-08-06","vendor payment","837.35","EUR","","837.35","Hangzhou Miqiu Internet Technology Co.,Ltd","Fulfillment","","paid","FALSE","837.35 EUR_04.08.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0082","2026-08-06","2026-08-06","vendor payment","805.34","EUR","","805.34","Hangzhou Miqiu Internet Technology Co.,Ltd","Fulfillment","","paid","FALSE","805.34 EUR _05.08.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
"TXN-0083","2026-08-06","2026-08-06","vendor payment","723.17","EUR","","723.17","Hangzhou Miqiu Internet Technology Co.,Ltd","Fulfillment","","paid","FALSE","723.17 EUR_06.08.2026_Hangzhou Miqiu Internet Technology Co.,Ltd.pdf","",""
